college_code,college_name,district,college_type,branch_code,branch_name,oc,bc,bcm,mbc,sc,sca,st,oc_partial,bc_partial,bcm_partial,mbc_partial,sc_partial,sca_partial,st_partial
3852,"Sri Bharathi Engineering College for Women, Aranthangi Road, Kaikurichi, Alangudi Taluk, Pudukkottai-622303.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,108.0,,,,,,,1,0,0,0,0,0,0
3852,"Sri Bharathi Engineering College for Women, Aranthangi Road, Kaikurichi, Alangudi Taluk, Pudukkottai-622303.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,IT,INFORMATION TECHNOLOGY,121.499999999999,94.0,106.0,83.5,91.0,,,0,1,0,1,1,0,0
3854,"Mahath Amma Institute of Engineering and Technology, Ariyur, Mathiyanaloor-Post, Annavasal Road, Illupur Taluk, Pudukkottai-622101.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,AD,Artificial Intelligence and Data Science,101.0,88.5,,,,,,0,1,0,0,0,0,0
3854,"Mahath Amma Institute of Engineering and Technology, Ariyur, Mathiyanaloor-Post, Annavasal Road, Illupur Taluk, Pudukkottai-622101.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,AG,AGRICULTURAL ENGINEERING,87.5,,,,,,,1,0,0,0,0,0,0
3854,"Mahath Amma Institute of Engineering and Technology, Ariyur, Mathiyanaloor-Post, Annavasal Road, Illupur Taluk, Pudukkottai-622101.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CE,CIVIL  ENGINEERING,,,,,,,,0,0,0,0,0,0,0
3854,"Mahath Amma Institute of Engineering and Technology, Ariyur, Mathiyanaloor-Post, Annavasal Road, Illupur Taluk, Pudukkottai-622101.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,CS,COMPUTER SCIENCE AND ENGINEERING,80.0,,,,,,,1,0,0,0,0,0,0
3854,"Mahath Amma Institute of Engineering and Technology, Ariyur, Mathiyanaloor-Post, Annavasal Road, Illupur Taluk, Pudukkottai-622101.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,97.0,,,,,,,1,0,0,0,0,0,0
3854,"Mahath Amma Institute of Engineering and Technology, Ariyur, Mathiyanaloor-Post, Annavasal Road, Illupur Taluk, Pudukkottai-622101.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,IT,INFORMATION TECHNOLOGY,89.0,,,,,,,0,0,0,0,0,0,0
3854,"Mahath Amma Institute of Engineering and Technology, Ariyur, Mathiyanaloor-Post, Annavasal Road, Illupur Taluk, Pudukkottai-622101.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,ME,MECHANICAL ENGINEERING,90.5,,,,,,,1,0,0,0,0,0,0
3854,"Mahath Amma Institute of Engineering and Technology, Ariyur, Mathiyanaloor-Post, Annavasal Road, Illupur Taluk, Pudukkottai-622101.",PUDUKKOTTAI,SELF FINANCING COLLEGES TIER 3,SC,Computer Science and Engineering (Cyber Security),93.5,,,,,,,1,0,0,0,0,0,0
